FullMovieName,Month,Day,Year,Budget,Domestic Gross,Worldwide Gross,Universe,Movie,TimeBtwnRelease,DateTime,TimeBtwnAllReleases,
Guardians of the Galaxy,Aug,1,2014,170000000,333172112,771051335,MCU,GuardiansoftheGalaxy,119,"Aug 1, 2014",86.45,
Avengers: Age of Ultron,May,1,2015,495000000,459005868,1405403694,MCU,AgeofUltron,273,"May 1, 2015",273,
Ant-man,June,29,2015,160000000,180202163,519311965,MCU,Antman,59,"June 29, 2015",59,
Star Wars Ep. VII: The Force Awakens,Dec,18,2015,306000000,936662225,2058662225,STAR,TheForceAwakens,242.15,"Dec 18, 2015",172,
Batman v Superman: Dawn of Justice,March,25,2016,250000000,330360194,868160194,DCEU,DawnofJustice,1015.00,"March 25, 2016",98,
Captain America: Civil War,May,6,2016,250000000,408084349,1153304495,MCU,CivilWar,312,"May 6, 2016",42,
Suicide Squad,August,5,2016,175000000,325100054,746100054,DCEU,SuicideSquad,133,8/5/2016,91,
Doctor Strange,Nov,4,2016,165000000,232641920,677541920,MCU,DoctorStrange,182,"Nov 4, 2016",91,
Rogue One,Dec,16,2016,200000000,532177324,1056057273,STAR,RogueOne,364,"Dec 16, 2016",42,
Wonder Woman,Jun,2,2017,150000000,412563408,817012815,DCEU,WonderWoman,301,"Jun 2, 2017",168,
Spider-Man: Homecoming,Jul,7,2017,175000000,334201140,880206511,MCU,SpidermanHomecoming,245,"Jul 7, 2017",35,
Thor Ragnarok,Nov,3,2017,180000000,315059289,853977126,MCU,ThorRagnarok,119,"Nov 3, 2017",119,
Justice League,Nov,17,2017,300000000,228977297,655906448,DCEU,JusticeLeague,168,"Nov 17, 2017",14,
The Last Jedi,Dec,15,2017,300000000,620181382,1332539889,STAR,TheLastJedi,364,"Dec 15, 2017",28,
Black Panther,Feb,16,2018,200000000,530851601,944951601,MCU,BlackPanther,105,"Feb 16, 2018",63,
Avengers InfinityWar,Apr,27,2018,385000000,678815482,2048359754,MCU,AvengersInfinityWar,70,"Apr 27, 2018",70,
Solo,May,10,2018,250000000,213767512,392924807,STAR,Solo,146,"May 10, 2018",13,
Ant-man and the wasp,July,6,2018,162000000,216648740,622674139,MCU,Antmanthewasp,70,"July 6, 2018",57,
Aquaman,Dec,21,2018,180000000,335061807,1147761807,MCU,Antman,168,"Dec 21, 2018",168,
Shazam,Apr,5,2019,100000000,139630393,363030393,DCEU,Shazam,504,"Apr 5, 2019",105,
Avengers Endgame,Apr,26,2019,365000000,827811359,2734786099,MCU,AvengersEndgame,126,"Apr 26, 2019",21,
