Movie,FileName,Field_1,text
AgeofUltron,AgeofUltron_rm,0,"Fans of the franchise will be pleased, but those looking in from the outside of comic-book culture may find themselves also looking at their watches."
AgeofUltron,AgeofUltron_rm,1,"""Avengers: Age of Ultron"" is a sometimes daffy, occasionally baffling, surprisingly touching and even romantic adventure with one kinetic thrill after another. It earns a place of high ranking in the Marvel Universe."
AgeofUltron,AgeofUltron_rm,2,"More does not necessarily equal better; here, more is just ... meh."
AgeofUltron,AgeofUltron_rm,3,"The sharp, interpersonal dramedy that made the first movie such a delight is again present in flashes, but not infrequently it is drowned out by the noisy, inevitable need to Save the World."
AgeofUltron,AgeofUltron_rm,4,"For the most part, ""Avengers: Age of Ultron"" is the hard-charging, mind-boggling spectacle fans are looking for. Smash indeed."
AgeofUltron,AgeofUltron_rm,5,"World-saving is no longer a surprise to these characters. It's work. Grunt work. For them. For us."
AgeofUltron,AgeofUltron_rm,6,"Age of Ultron has gloomier veins and deeper belly laughs, but The Avengers was an event."
AgeofUltron,AgeofUltron_rm,7,"Avengers: Age of Ultron is the penultimate film of Marvel's Phase 2 and paves the landscape for phase 3 of the Marvel Cinematic Universe."
AgeofUltron,AgeofUltron_rm,8,"With its vast cast, ever-accelerating action and cameos from the wider Marvel world, it has to keep doubling down on spectacle as it races to its epic conclusion."
AgeofUltron,AgeofUltron_rm,9,"In reality, it's nothing more than the action-packed culmination of three years-worth of superhero solo movies, and that's fine by me."
AgeofUltron,AgeofUltron_rm,10,I still enjoy Age of Ultron but not as much as I did when I first saw it.
AgeofUltron,AgeofUltron_rm,11,"For every moment of disconnect and excess, there's a humanizing moment, a hilarious exchange, or a team up crowd pleaser"
AgeofUltron,AgeofUltron_rm,12,It is once more a delicate juggling act which Whedon performs with aplomb.
AgeofUltron,AgeofUltron_rm,13,"The Avengers don't seem cohesive, and we have weird attempts at character development."
AgeofUltron,AgeofUltron_rm,14,"There is a lot to like, but ultimately a lot to digest -- making its grand scale both a blessing and a curse."
AgeofUltron,AgeofUltron_rm,15,"[W]hatever its flaws, Age of Ultron is better than a roller coaster, and gives MCU fans plenty to chew on."
AgeofUltron,AgeofUltron_rm,16,"The movie embodies what we want in a Marvel film - it's smart, cool, full of vivid stunts and effects with well-delineated characters played by top actors."
AgeofUltron,AgeofUltron_rm,17,"AGE OF ULTRON isn't going to exceed the expectations of the first Avengers' film, but, it will be one a helluva carnival ride."
AgeofUltron,AgeofUltron_rm,18,"I respect Whedon for not attempting a retread, but not all of his risks pay off."
AgeofUltron,AgeofUltron_rm,19,"The return of the Avengers crew, though bringing little new to the table after the 2012 series opener, Avengers Assemble, is an amiable enough hokum diversion for 2+ hours."
AgeofUltron,AgeofUltron_rm,20,"it didn't blow me away like the first one, but that's probably understandable given that there wasn't the same ""Holy crap, it's an actual Avengers movie! I haven't wasted my life!"" factor at play."
AgeofUltron,AgeofUltron_rm,21,"If the Marvel Cinematic Universe is a collectible card game, Avengers: Age Of Ultron is the best booster pack you could possibly get"
AgeofUltron,AgeofUltron_rm,22,"As good as ""Age of Ultron"" is, it just leaves something to be desired. Still, you'll get the action you crave, you'll get some witty one-liners, and you'll have a really good time."
AgeofUltron,AgeofUltron_rm,23,"Age of Ultron feels defined by studio interference, making me happy that Joss Whedon is no longer involved with Marvel - a talented writer/director of his stature shouldn't be compromising his vision for anybody."
AgeofUltron,AgeofUltron_rm,24,"You may learn something before it's all done and it makes a billion dollars."
AgeofUltron,AgeofUltron_rm,25,Age of Ultron knew to keep a good thing going and I am happy to report that this film is honestly really funny too.
AgeofUltron,AgeofUltron_rm,26,"By far the worst movie in the MCU. Also, Why must Ultron have lips?"
AgeofUltron,AgeofUltron_rm,27,"Age of Ultron goes big - big cast, worldwide destruction, giant robot army - but in the end, it feels like very little happened."
AgeofUltron,AgeofUltron_rm,28,"the film is highly entertaining, and I don't want to acid rain on anyone's parade. If you like Mavel's Avengers, you'll love Age of Ultron. It's an extra large helping of more of the same, with a radioactive cherry on top."
AgeofUltron,AgeofUltron_rm,29,"For the most part, it's a high energy action film, delivering what Marvel fans expect."
AgeofUltron,AgeofUltron_rm,30,"The biggest hurdle for movies that reach the levels of success that The Avengers did is repeating something close to it in a sequel. Age of Ultron may have missed the mark, but it wasn't by much."
AgeofUltron,AgeofUltron_rm,31,"[""Age of Ultron""] had some pretty big, overshadowing boots to fill, but ultimately, the movie certainly has the right stuff - flaws and all - to win the day."
AgeofUltron,AgeofUltron_rm,32,"(Whedon is) less a thinker than a teaser, throwing out an inexhaustible amount of ticklish ideas and tasty images that thrill from moment to moment then disappear from memory."
AgeofUltron,AgeofUltron_rm,33,There so many plots in this movie and so many scene that are JUST there to set up future movies...It moves too fast.
